Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,94,841,Player003a,80.0,WormsAr,99.0,97.0,99.0,26.0,61.0,63.0,54.0
Table_0001,25,640,Player003a,94.0,Doom2dm,96.0,81.0,39.0,68.0,91.0,33.0,35.0
Table_0001,80,629,Player003a,44.0,TF2,81.0,21.0,24.0,59.0,63.0,19.0,93.0
Table_0001,89,505,Player003a,41.0,SnL,48.0,21.0,20.0,30.0,55.0,12.0,73.0
Table_0002,207,406,Player003a,58.0,SnL,33.0,94.0,20.0,26.0,19.0,78.0,60.0
Table_0002,144,480,Player003a,93.0,Doom2dm,18.0,54.0,47.0,43.0,26.0,83.0,5.0
Table_0002,56,554,Player003a,58.0,TF2,48.0,80.0,25.0,30.0,67.0,66.0,11.0
Table_0002,232,258,Player003a,7.0,WormsAr,45.0,53.0,1.0,81.0,1.0,58.0,80.0
Table_0003,57,520,Player003a,4.0,SnL,18.0,100.0,49.0,30.0,75.0,8.0,89.0
Table_0003,187,426,Player003a,62.0,Doom2dm,23.0,64.0,97.0,48.0,18.0,32.0,35.0
Table_0003,77,827,Player003a,7.0,TF2,8.0,67.0,68.0,53.0,66.0,79.0,78.0
Table_0003,47,985,Player003a,92.0,WormsAr,93.0,66.0,91.0,100.0,81.0,66.0,91.0
Table_0004,8,921,Player003a,24.0,Doom2dm,94.0,9.0,16.0,13.0,98.0,33.0,94.0
Table_0004,57,550,Player003a,78.0,TF2,2.0,36.0,44.0,39.0,77.0,3.0,65.0
Table_0004,96,483,Player003a,74.0,WormsAr,2.0,60.0,61.0,1.0,59.0,7.0,48.0
Table_0005,40,677,Player003a,11.0,Doom2dm,34.0,78.0,86.0,25.0,84.0,2.0,69.0
Table_0005,170,280,Player003a,51.0,TF2,74.0,72.0,53.0,51.0,22.0,17.0,32.0
Table_0005,51,870,Player003a,64.0,WormsAr,2.0,65.0,77.0,82.0,83.0,75.0,67.0
Table_0006,95,524,Player003a,54.0,WormsAr,20.0,36.0,48.0,10.0,60.0,1.0,69.0
Table_0006,120,909,Player003a,72.0,Doom2dm,82.0,32.0,80.0,49.0,46.0,83.0,69.0
Table_0006,66,709,Player003a,73.0,TF2,60.0,49.0,22.0,63.0,72.0,49.0,94.0
Table_0006,93,685,Player003a,63.0,SnL,97.0,77.0,57.0,9.0,62.0,61.0,13.0
Table_0007,80,482,Player003a,79.0,SnL,91.0,93.0,49.0,56.0,74.0,23.0,12.0
Table_0007,152,400,Player003a,94.0,Doom2dm,27.0,77.0,37.0,59.0,31.0,47.0,66.0
Table_0007,68,653,Player003a,34.0,TF2,99.0,40.0,42.0,93.0,75.0,30.0,53.0
Table_0007,99,361,Player003a,5.0,WormsAr,86.0,78.0,34.0,21.0,56.0,15.0,5.0
Table_0008,175,582,Player003a,92.0,SnL,76.0,3.0,20.0,96.0,18.0,75.0,79.0
Table_0008,107,743,Player003a,89.0,Doom2dm,45.0,2.0,38.0,39.0,61.0,50.0,61.0
Table_0008,3,919,Player003a,2.0,TF2,71.0,92.0,28.0,39.0,99.0,93.0,60.0
Table_0008,11,772,Player003a,7.0,WormsAr,87.0,48.0,50.0,82.0,97.0,42.0,30.0
Table_0009,118,602,Player003a,18.0,WormsAr,4.0,37.0,90.0,53.0,49.0,38.0,29.0
Table_0009,47,556,Player003a,19.0,Doom2dm,35.0,100.0,35.0,35.0,81.0,38.0,47.0
Table_0009,180,237,Player003a,4.0,TF2,46.0,98.0,15.0,52.0,26.0,28.0,76.0
Table_0009,80,616,Player003a,80.0,SnL,87.0,60.0,85.0,49.0,67.0,11.0,32.0
