Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,104,379,Player004b,74.0,WormsAr,14.0,84.0,40.0,20.0,53.0,26.0,32.0
Table_0001,18,528,Player004b,74.0,Doom2dm,28.0,97.0,14.0,76.0,92.0,34.0,66.0
Table_0001,106,548,Player004b,28.0,TF2,2.0,43.0,83.0,89.0,50.0,15.0,81.0
Table_0001,29,986,Player004b,8.0,SnL,69.0,42.0,62.0,67.0,86.0,63.0,100.0
Table_0002,42,1063,Player004b,53.0,SnL,100.0,99.0,78.0,15.0,88.0,87.0,77.0
Table_0002,48,665,Player004b,61.0,Doom2dm,31.0,5.0,31.0,35.0,74.0,15.0,78.0
Table_0002,35,956,Player004b,51.0,TF2,76.0,4.0,68.0,67.0,77.0,83.0,17.0
Table_0002,102,665,Player004b,95.0,WormsAr,13.0,94.0,42.0,83.0,51.0,100.0,71.0
Table_0003,117,753,Player004b,65.0,SnL,77.0,19.0,34.0,30.0,44.0,66.0,79.0
Table_0003,38,785,Player004b,14.0,Doom2dm,90.0,85.0,61.0,31.0,89.0,66.0,2.0
Table_0003,28,644,Player004b,77.0,TF2,15.0,14.0,42.0,72.0,87.0,39.0,6.0
Table_0003,18,679,Player004b,40.0,WormsAr,94.0,89.0,73.0,92.0,90.0,8.0,77.0
Table_0004,17,1106,Player004b,33.0,Doom2dm,99.0,59.0,64.0,52.0,95.0,85.0,85.0
Table_0004,80,655,Player004b,15.0,WormsAr,27.0,36.0,27.0,19.0,64.0,42.0,75.0
Table_0005,156,296,Player004b,49.0,Doom2dm,31.0,94.0,60.0,97.0,32.0,13.0,79.0
Table_0005,198,206,Player004b,63.0,WormsAr,93.0,94.0,58.0,66.0,15.0,22.0,15.0
Table_0006,41,844,Player004b,73.0,Doom2dm,22.0,99.0,35.0,22.0,79.0,93.0,85.0
Table_0006,147,394,Player004b,34.0,TF2,26.0,69.0,53.0,41.0,32.0,36.0,42.0
Table_0006,8,819,Player004b,91.0,SnL,1.0,30.0,85.0,58.0,97.0,48.0,2.0
Table_0007,20,875,Player004b,79.0,SnL,12.0,56.0,62.0,65.0,92.0,83.0,31.0
Table_0007,88,457,Player004b,57.0,Doom2dm,23.0,54.0,8.0,4.0,62.0,28.0,50.0
Table_0007,29,860,Player004b,53.0,TF2,79.0,81.0,73.0,77.0,91.0,76.0,21.0
Table_0007,127,549,Player004b,2.0,WormsAr,76.0,69.0,22.0,26.0,45.0,40.0,93.0
Table_0008,7,738,Player004b,26.0,SnL,89.0,19.0,22.0,30.0,97.0,25.0,33.0
Table_0008,40,1082,Player004b,96.0,Doom2dm,38.0,13.0,98.0,11.0,85.0,74.0,33.0
Table_0008,53,872,Player004b,68.0,TF2,99.0,30.0,65.0,91.0,79.0,55.0,57.0
Table_0008,21,731,Player004b,15.0,WormsAr,19.0,85.0,94.0,22.0,92.0,4.0,73.0
Table_0009,149,360,Player004b,2.0,WormsAr,51.0,36.0,46.0,99.0,34.0,40.0,6.0
Table_0009,95,828,Player004b,32.0,Doom2dm,29.0,17.0,79.0,17.0,63.0,61.0,27.0
Table_0009,141,633,Player004b,13.0,TF2,89.0,59.0,15.0,44.0,43.0,68.0,87.0
Table_0009,36,600,Player004b,27.0,SnL,96.0,54.0,30.0,12.0,86.0,8.0,36.0
