Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,82,606,Player003f,33.0,WormsAr,78.0,79.0,33.0,63.0,66.0,51.0,58.0
Table_0001,119,632,Player003f,86.0,Doom2dm,71.0,54.0,61.0,81.0,45.0,69.0,33.0
Table_0001,37,656,Player003f,100.0,TF2,72.0,22.0,21.0,3.0,82.0,19.0,41.0
Table_0001,71,818,Player003f,18.0,SnL,94.0,69.0,95.0,2.0,65.0,16.0,95.0
Table_0002,14,772,Player003f,37.0,SnL,83.0,82.0,51.0,26.0,94.0,36.0,56.0
Table_0002,75,750,Player003f,59.0,Doom2dm,80.0,10.0,87.0,50.0,61.0,3.0,81.0
Table_0002,68,871,Player003f,32.0,TF2,80.0,54.0,92.0,30.0,61.0,41.0,92.0
Table_0002,73,662,Player003f,67.0,WormsAr,23.0,82.0,14.0,17.0,68.0,69.0,81.0
Table_0003,36,561,Player003f,60.0,SnL,20.0,67.0,49.0,23.0,85.0,29.0,5.0
Table_0003,99,849,Player003f,34.0,Doom2dm,60.0,71.0,94.0,99.0,60.0,95.0,34.0
Table_0003,221,340,Player003f,58.0,TF2,2.0,60.0,60.0,48.0,8.0,27.0,89.0
Table_0003,128,604,Player003f,9.0,WormsAr,64.0,81.0,91.0,77.0,44.0,58.0,27.0
Table_0004,87,377,Player003f,99.0,SnL,34.0,56.0,4.0,77.0,62.0,50.0,5.0
Table_0004,12,914,Player003f,76.0,TF2,3.0,92.0,93.0,30.0,94.0,75.0,38.0
Table_0004,45,1076,Player003f,97.0,WormsAr,37.0,20.0,89.0,6.0,82.0,68.0,68.0
Table_0005,199,330,Player003f,47.0,SnL,83.0,22.0,8.0,56.0,15.0,17.0,90.0
Table_0005,152,429,Player003f,9.0,Doom2dm,80.0,45.0,43.0,21.0,35.0,20.0,38.0
Table_0005,23,787,Player003f,64.0,WormsAr,23.0,45.0,99.0,50.0,93.0,27.0,17.0
Table_0006,166,826,Player003f,50.0,WormsAr,98.0,50.0,98.0,47.0,29.0,60.0,98.0
Table_0006,117,568,Player003f,96.0,Doom2dm,25.0,41.0,48.0,58.0,47.0,38.0,76.0
Table_0006,7,834,Player003f,35.0,TF2,67.0,55.0,71.0,1.0,97.0,14.0,62.0
Table_0007,77,770,Player003f,46.0,Doom2dm,59.0,39.0,51.0,22.0,66.0,77.0,10.0
Table_0007,45,828,Player003f,99.0,TF2,65.0,94.0,33.0,17.0,85.0,82.0,58.0
Table_0007,66,942,Player003f,38.0,WormsAr,92.0,45.0,48.0,46.0,72.0,81.0,79.0
Table_0008,158,414,Player003f,57.0,SnL,18.0,17.0,62.0,71.0,25.0,47.0,1.0
Table_0008,71,713,Player003f,8.0,Doom2dm,73.0,45.0,69.0,74.0,73.0,48.0,20.0
Table_0008,131,694,Player003f,20.0,TF2,83.0,44.0,59.0,79.0,43.0,94.0,5.0
Table_0008,16,729,Player003f,94.0,WormsAr,57.0,87.0,21.0,38.0,95.0,43.0,87.0
Table_0009,81,1004,Player003f,36.0,Doom2dm,64.0,89.0,94.0,8.0,68.0,80.0,92.0
Table_0009,29,620,Player003f,72.0,TF2,31.0,30.0,7.0,87.0,89.0,57.0,21.0
Table_0009,42,891,Player003f,5.0,SnL,14.0,54.0,51.0,39.0,83.0,67.0,94.0
