Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,22,426,Player000c,80.0,Doom2dm,36.0,93.0,30.0,5.0,91.0,2.0,14.0
Table_0001,117,570,Player000c,92.0,TF2,25.0,57.0,48.0,10.0,45.0,44.0,62.0
Table_0001,36,578,Player000c,2.0,SnL,13.0,16.0,31.0,64.0,82.0,11.0,57.0
Table_0002,79,388,Player000c,36.0,Doom2dm,95.0,79.0,25.0,94.0,60.0,19.0,47.0
Table_0002,114,775,Player000c,71.0,TF2,26.0,9.0,41.0,17.0,41.0,82.0,64.0
Table_0002,111,890,Player000c,30.0,WormsAr,29.0,23.0,95.0,57.0,47.0,86.0,50.0
Table_0003,19,844,Player000c,53.0,SnL,73.0,4.0,5.0,91.0,95.0,47.0,96.0
Table_0003,23,775,Player000c,48.0,Doom2dm,47.0,35.0,1.0,20.0,93.0,49.0,77.0
Table_0003,37,659,Player000c,28.0,TF2,2.0,38.0,47.0,88.0,84.0,33.0,64.0
Table_0003,22,756,Player000c,13.0,WormsAr,25.0,13.0,98.0,62.0,89.0,19.0,2.0
Table_0004,14,937,Player000c,42.0,SnL,44.0,19.0,27.0,50.0,94.0,91.0,33.0
Table_0004,30,834,Player000c,84.0,Doom2dm,75.0,28.0,8.0,25.0,90.0,43.0,97.0
Table_0004,174,438,Player000c,9.0,TF2,97.0,76.0,65.0,17.0,27.0,40.0,10.0
Table_0005,66,368,Player000c,47.0,SnL,32.0,60.0,14.0,36.0,72.0,22.0,1.0
Table_0005,154,449,Player000c,27.0,Doom2dm,52.0,74.0,19.0,55.0,35.0,76.0,32.0
Table_0005,66,583,Player000c,45.0,TF2,38.0,58.0,43.0,91.0,69.0,36.0,67.0
Table_0005,24,663,Player000c,54.0,WormsAr,53.0,36.0,41.0,56.0,93.0,6.0,63.0
Table_0006,84,788,Player000c,31.0,WormsAr,71.0,27.0,50.0,80.0,65.0,76.0,36.0
Table_0006,18,955,Player000c,71.0,TF2,8.0,87.0,57.0,7.0,93.0,80.0,86.0
Table_0006,52,754,Player000c,72.0,SnL,71.0,92.0,60.0,27.0,80.0,44.0,69.0
Table_0007,41,780,Player000c,61.0,SnL,62.0,88.0,41.0,46.0,87.0,86.0,19.0
Table_0007,118,322,Player000c,75.0,Doom2dm,6.0,65.0,23.0,37.0,44.0,45.0,7.0
Table_0007,203,451,Player000c,71.0,TF2,6.0,95.0,97.0,8.0,8.0,70.0,16.0
Table_0007,145,676,Player000c,13.0,WormsAr,5.0,27.0,76.0,12.0,37.0,64.0,34.0
Table_0008,186,344,Player000c,75.0,SnL,87.0,25.0,16.0,34.0,9.0,59.0,6.0
Table_0008,3,915,Player000c,41.0,Doom2dm,43.0,19.0,97.0,6.0,99.0,14.0,37.0
Table_0008,7,859,Player000c,49.0,TF2,66.0,13.0,12.0,48.0,97.0,54.0,65.0
Table_0008,67,968,Player000c,29.0,WormsAr,54.0,72.0,98.0,43.0,71.0,100.0,26.0
Table_0009,9,599,Player000c,58.0,WormsAr,31.0,66.0,3.0,44.0,97.0,24.0,77.0
Table_0009,37,623,Player000c,100.0,Doom2dm,17.0,56.0,17.0,6.0,87.0,58.0,3.0
Table_0009,203,578,Player000c,38.0,TF2,75.0,99.0,65.0,77.0,15.0,90.0,74.0
Table_0009,133,521,Player000c,70.0,SnL,15.0,43.0,44.0,69.0,39.0,71.0,25.0
