Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,17,675,Player0030,50.0,WormsAr,60.0,68.0,13.0,38.0,92.0,53.0,39.0
Table_0001,23,1236,Player0030,39.0,Doom2dm,6.0,2.0,100.0,49.0,91.0,99.0,66.0
Table_0001,107,537,Player0030,74.0,TF2,73.0,55.0,14.0,30.0,50.0,72.0,12.0
Table_0001,23,802,Player0030,59.0,SnL,3.0,27.0,47.0,37.0,91.0,38.0,71.0
Table_0002,223,349,Player0030,52.0,SnL,62.0,53.0,14.0,62.0,15.0,75.0,19.0
Table_0002,46,1024,Player0030,95.0,Doom2dm,6.0,8.0,45.0,20.0,75.0,97.0,78.0
Table_0002,48,513,Player0030,17.0,TF2,94.0,60.0,11.0,46.0,70.0,46.0,9.0
Table_0003,158,265,Player0030,70.0,SnL,83.0,74.0,64.0,65.0,27.0,1.0,32.0
Table_0003,118,694,Player0030,69.0,Doom2dm,38.0,3.0,22.0,39.0,53.0,64.0,57.0
Table_0003,86,776,Player0030,79.0,TF2,34.0,93.0,77.0,35.0,62.0,96.0,19.0
Table_0004,73,831,Player0030,58.0,SnL,75.0,14.0,57.0,53.0,68.0,62.0,39.0
Table_0004,58,978,Player0030,75.0,Doom2dm,82.0,100.0,96.0,52.0,72.0,100.0,50.0
Table_0004,64,727,Player0030,63.0,TF2,59.0,35.0,22.0,21.0,73.0,32.0,100.0
Table_0004,147,501,Player0030,38.0,WormsAr,9.0,99.0,20.0,89.0,37.0,88.0,91.0
Table_0005,16,793,Player0030,82.0,SnL,37.0,59.0,84.0,74.0,96.0,24.0,60.0
Table_0005,82,786,Player0030,87.0,Doom2dm,97.0,19.0,28.0,47.0,64.0,91.0,3.0
Table_0005,110,640,Player0030,9.0,TF2,35.0,61.0,91.0,92.0,52.0,51.0,41.0
Table_0005,19,1108,Player0030,27.0,WormsAr,16.0,32.0,64.0,44.0,94.0,100.0,69.0
Table_0006,27,1019,Player0030,14.0,WormsAr,33.0,20.0,91.0,9.0,90.0,51.0,54.0
Table_0006,19,517,Player0030,68.0,TF2,14.0,41.0,4.0,88.0,93.0,42.0,14.0
Table_0007,66,815,Player0030,88.0,SnL,95.0,55.0,36.0,27.0,79.0,85.0,7.0
Table_0007,105,686,Player0030,28.0,Doom2dm,97.0,95.0,96.0,37.0,50.0,28.0,83.0
Table_0007,135,437,Player0030,98.0,TF2,19.0,91.0,38.0,13.0,43.0,61.0,20.0
Table_0007,27,812,Player0030,1.0,WormsAr,75.0,81.0,17.0,31.0,91.0,70.0,72.0
Table_0008,148,690,Player0030,17.0,SnL,57.0,29.0,8.0,64.0,31.0,96.0,96.0
Table_0008,166,673,Player0030,49.0,Doom2dm,95.0,85.0,36.0,61.0,39.0,83.0,87.0
Table_0008,28,952,Player0030,81.0,TF2,79.0,33.0,99.0,22.0,90.0,14.0,79.0
Table_0008,75,440,Player0030,20.0,WormsAr,5.0,21.0,9.0,29.0,69.0,17.0,33.0
Table_0009,26,752,Player0030,5.0,WormsAr,92.0,46.0,81.0,47.0,90.0,9.0,35.0
Table_0009,103,526,Player0030,14.0,Doom2dm,68.0,91.0,51.0,93.0,58.0,23.0,99.0
Table_0009,34,912,Player0030,13.0,TF2,100.0,93.0,55.0,54.0,85.0,96.0,39.0
