Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Player000b,1,Doom2dm,70,90,82,49,23,18,31
Player004a,2,SnL,28,92,64,96,51,40,25
Player0015,3,TF2,55,73,87,94,10,78,38
Player0060,4,WormsAr,22,63,88,4,45,47,78
Player0014,5,TF2,60,57,99,58,51,53,16
Player0005,6,TF2,78,2,94,61,10,66,63
Player0044,7,TF2,16,14,62,11,88,1,7
Player0018,8,Doom2dm,80,61,90,84,28,23,69
Player0051,9,SnL,49,82,24,41,30,66,5
Player0003,10,SnL,4,29,27,91,37,52,16
Player0052,11,SnL,3,34,51,9,58,100,79
Player0055,12,Doom2dm,66,89,15,35,97,94,60
Player0004,13,Doom2dm,51,45,51,79,89,36,43
Player0020,14,SnL,16,98,74,47,49,83,78
Player0010,15,WormsAr,78,56,19,84,9,73,99
Player003f,16,TF2,91,84,22,7,19,93,88
Player002c,17,Doom2dm,51,31,65,26,5,86,52
Player0034,18,SnL,25,85,74,60,47,86,8
Player003f,19,SnL,80,98,31,25,35,3,69
Player005b,20,Doom2dm,43,94,88,29,86,36,58
Player0005,21,Doom2dm,94,94,8,55,40,82,94
Player005a,22,WormsAr,32,93,69,64,55,67,34
Player004b,23,Doom2dm,8,42,59,8,9,14,99
Player0009,24,WormsAr,76,27,96,24,28,93,33
Player005b,25,SnL,47,62,34,97,94,14,22
Player0042,26,SnL,25,60,50,24,86,35,70
Player0021,27,TF2,43,5,4,55,52,98,48
Player0015,28,Doom2dm,18,42,99,64,64,79,30
Player004d,29,SnL,21,47,5,68,13,30,32
Player002a,30,WormsAr,27,24,72,28,81,3,54
Player005f,31,Doom2dm,34,6,4,70,25,2,96
Player0036,32,Doom2dm,34,54,18,59,76,45,15
Player0027,33,TF2,75,18,100,82,53,67,81
Player0004,34,WormsAr,45,13,13,24,95,31,12
Player0009,35,TF2,42,65,53,99,95,35,34
Player0031,36,WormsAr,38,75,24,56,58,18,55
Player002d,37,SnL,13,57,51,98,12,26,61
Player001b,38,WormsAr,79,12,98,7,2,70,97
Player0022,39,SnL,10,32,46,53,47,53,87
Player0021,40,WormsAr,54,52,64,52,98,47,100
Player001f,41,Doom2dm,83,70,50,88,4,97,26
Player003d,42,WormsAr,50,9,30,87,22,54,67
Player005d,43,WormsAr,99,21,75,2,64,100,53
Player0052,44,TF2,99,99,75,37,34,12,8
Player001e,45,WormsAr,11,85,39,22,80,12,13
Player0007,46,WormsAr,64,61,48,41,94,91,14
Player0027,47,WormsAr,57,76,2,13,26,36,38
Player000a,48,Doom2dm,33,62,64,61,41,56,72
Player0001,49,WormsAr,25,88,68,32,9,47,28
Player0058,50,SnL,93,42,68,93,86,44,13
Player0019,51,TF2,56,46,56,18,48,80,13
Player0056,52,Doom2dm,60,95,45,19,83,15,97
Player0025,53,Doom2dm,21,80,72,74,75,44,45
Player0039,54,Doom2dm,12,66,64,48,26,71,78
Player0004,55,SnL,88,31,9,64,44,26,17
Player002f,56,SnL,61,14,58,54,96,86,97
Player0047,57,Doom2dm,63,59,86,91,86,100,24
Player003a,58,SnL,33,94,20,26,19,78,60
Player001e,59,WormsAr,17,69,7,33,87,35,100
Player0042,60,TF2,85,82,51,46,57,44,40
Player0009,61,WormsAr,47,73,40,67,96,23,20
Player0058,62,WormsAr,4,46,69,6,99,90,96
Player000f,63,TF2,16,75,79,67,66,8,84
Player005f,64,WormsAr,19,97,81,90,26,65,23
Player0033,65,WormsAr,5,71,76,48,19,65,12
Player004b,66,WormsAr,69,2,91,1,35,10,54
Player001b,67,Doom2dm,42,51,81,16,34,94,47
Player002f,68,WormsAr,11,88,54,75,17,72,49
Player003c,69,WormsAr,32,49,99,6,20,57,82
Player0044,70,WormsAr,52,37,20,47,76,76,55
Player0055,71,Doom2dm,40,36,85,83,27,42,41
Player004d,72,WormsAr,53,31,87,79,80,57,92
Player0023,73,SnL,45,99,57,48,77,36,22
Player004a,74,SnL,52,85,27,91,4,14,39
Player0053,75,SnL,64,31,31,89,18,78,68
Player0064,76,Doom2dm,22,35,11,1,71,82,10
Player0026,77,WormsAr,47,1,87,69,26,32,17
Player0014,78,WormsAr,78,45,26,22,68,13,19
Player003f,79,WormsAr,52,99,49,92,62,23,55
Player0032,80,WormsAr,42,86,100,68,22,4,51
Player000e,81,WormsAr,11,55,71,53,61,43,85
Player002a,82,WormsAr,94,74,57,15,33,82,4
Player0023,83,Doom2dm,97,50,63,6,85,36,82
Player004c,84,SnL,62,67,1,66,32,77,17
Player0005,85,Doom2dm,29,39,21,6,58,48,24
Player0064,86,WormsAr,53,84,48,12,22,8,49
Player0025,87,Doom2dm,20,86,47,45,9,37,54
Player0064,88,WormsAr,69,53,1,68,9,99,46
Player0029,89,Doom2dm,59,86,76,88,23,19,42
Player0055,90,TF2,54,76,45,83,96,80,84
Player0004,91,Doom2dm,68,49,26,35,23,59,30
Player0036,92,Doom2dm,87,86,92,50,34,94,30
Player0045,93,WormsAr,1,36,41,24,14,31,73
Player002a,94,WormsAr,78,75,33,58,39,60,14
Player0040,95,Doom2dm,43,88,89,23,82,4,80
Player0019,96,TF2,80,24,53,40,64,65,2
Player0028,97,TF2,32,55,60,1,4,80,85
Player0050,98,SnL,82,14,100,37,15,44,17
Player0034,99,Doom2dm,77,67,99,86,91,10,17
Player0017,100,Doom2dm,76,49,50,10,29,41,19
