Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,138,225,Player005e,28.0,WormsAr,26.0,2.0,9.0,64.0,40.0,1.0,18.0
Table_0001,97,490,Player005e,100.0,Doom2dm,60.0,66.0,20.0,48.0,56.0,35.0,65.0
Table_0001,63,1003,Player005e,6.0,TF2,87.0,54.0,76.0,10.0,68.0,98.0,37.0
Table_0001,123,456,Player005e,66.0,SnL,72.0,50.0,91.0,64.0,41.0,9.0,17.0
Table_0002,8,617,Player005e,29.0,SnL,44.0,26.0,14.0,98.0,97.0,22.0,54.0
Table_0002,94,825,Player005e,47.0,Doom2dm,91.0,24.0,11.0,22.0,51.0,84.0,90.0
Table_0002,34,875,Player005e,16.0,TF2,7.0,16.0,26.0,20.0,78.0,73.0,80.0
Table_0003,107,439,Player005e,78.0,SnL,50.0,100.0,54.0,22.0,49.0,2.0,98.0
Table_0003,63,554,Player005e,88.0,Doom2dm,8.0,14.0,6.0,25.0,79.0,40.0,13.0
Table_0003,36,751,Player005e,63.0,WormsAr,83.0,13.0,72.0,31.0,85.0,17.0,8.0
Table_0004,201,227,Player005e,14.0,SnL,71.0,68.0,43.0,37.0,4.0,41.0,8.0
Table_0004,215,232,Player005e,99.0,TF2,29.0,70.0,72.0,71.0,10.0,18.0,38.0
Table_0004,91,564,Player005e,21.0,WormsAr,39.0,39.0,79.0,38.0,60.0,11.0,30.0
Table_0005,7,1039,Player005e,20.0,Doom2dm,33.0,38.0,72.0,31.0,99.0,78.0,45.0
Table_0005,136,716,Player005e,92.0,TF2,95.0,5.0,60.0,62.0,37.0,43.0,78.0
Table_0006,50,891,Player005e,81.0,WormsAr,70.0,75.0,68.0,98.0,79.0,84.0,67.0
Table_0006,118,424,Player005e,46.0,Doom2dm,3.0,40.0,60.0,63.0,46.0,4.0,69.0
Table_0006,128,439,Player005e,36.0,TF2,97.0,82.0,24.0,9.0,43.0,50.0,14.0
Table_0006,66,845,Player005e,11.0,SnL,67.0,4.0,71.0,60.0,73.0,36.0,62.0
Table_0007,81,893,Player005e,47.0,SnL,55.0,35.0,64.0,80.0,72.0,69.0,80.0
Table_0007,107,443,Player005e,97.0,Doom2dm,8.0,66.0,44.0,82.0,47.0,40.0,61.0
Table_0007,37,877,Player005e,31.0,TF2,60.0,52.0,39.0,22.0,88.0,76.0,41.0
Table_0007,18,826,Player005e,20.0,WormsAr,89.0,82.0,80.0,86.0,93.0,59.0,23.0
Table_0008,12,934,Player005e,95.0,SnL,78.0,46.0,30.0,46.0,96.0,89.0,34.0
Table_0008,93,723,Player005e,31.0,Doom2dm,90.0,14.0,10.0,86.0,67.0,79.0,33.0
Table_0008,43,769,Player005e,30.0,TF2,80.0,77.0,13.0,34.0,84.0,95.0,19.0
Table_0008,18,736,Player005e,56.0,WormsAr,34.0,67.0,79.0,28.0,93.0,13.0,55.0
Table_0009,177,330,Player005e,29.0,WormsAr,13.0,57.0,11.0,25.0,23.0,53.0,48.0
Table_0009,39,992,Player005e,90.0,Doom2dm,78.0,3.0,56.0,58.0,86.0,49.0,92.0
Table_0009,64,778,Player005e,89.0,TF2,37.0,100.0,55.0,48.0,74.0,89.0,49.0
Table_0009,62,603,Player005e,78.0,SnL,43.0,92.0,86.0,53.0,75.0,37.0,8.0
