Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Player0047,1,WormsAr,79,91,27,53,68,3,3
Player0022,2,TF2,13,35,24,100,30,90,93
Player0002,3,WormsAr,39,67,48,44,26,76,31
Player0035,4,WormsAr,9,62,23,27,4,22,12
Player0010,5,Doom2dm,6,72,45,37,27,53,63
Player0030,6,Doom2dm,7,97,70,74,8,52,39
Player0034,7,WormsAr,87,57,80,72,26,92,87
Player0061,8,Doom2dm,85,41,44,81,65,38,57
Player000a,9,SnL,96,71,30,56,94,30,1
Player003e,10,SnL,8,88,2,53,91,32,13
Player000b,11,WormsAr,96,61,21,2,79,21,52
Player0007,12,SnL,35,2,70,78,28,56,27
Player002e,13,TF2,11,36,90,49,87,70,9
Player0033,14,SnL,66,15,28,1,46,57,98
Player0007,15,Doom2dm,74,15,56,54,99,6,4
Player001b,16,SnL,26,82,65,16,83,20,16
Player004f,17,TF2,24,65,10,73,11,4,31
Player002a,18,WormsAr,17,83,94,68,30,76,92
Player0013,19,Doom2dm,6,84,17,67,55,98,54
Player004f,20,WormsAr,16,18,45,83,68,73,68
Player003b,21,WormsAr,70,6,35,15,73,13,15
Player0052,22,Doom2dm,100,11,40,68,34,48,22
Player0021,23,Doom2dm,38,2,96,52,87,73,15
Player0054,24,WormsAr,85,32,66,23,83,52,87
Player0028,25,WormsAr,97,39,65,51,99,68,60
Player0030,26,WormsAr,61,93,67,46,58,99,68
Player0007,27,TF2,49,61,77,31,2,93,30
Player005a,28,Doom2dm,87,48,80,38,80,12,96
Player0022,29,WormsAr,43,43,69,57,77,14,46
Player000d,30,WormsAr,82,71,10,25,96,84,86
Player005f,31,SnL,42,76,77,17,72,91,8
Player0026,32,Doom2dm,64,61,92,24,92,77,96
Player001d,33,SnL,72,31,52,31,83,73,64
Player000f,34,TF2,65,46,49,11,90,16,16
Player0004,35,SnL,88,54,47,45,88,66,4
Player0058,36,TF2,28,38,87,56,24,54,6
Player002b,37,TF2,38,79,43,98,39,15,26
Player001a,38,SnL,73,33,97,87,95,91,46
Player0019,39,Doom2dm,67,89,38,98,95,8,89
Player0058,40,WormsAr,10,87,79,59,51,69,31
Player0013,41,WormsAr,79,71,81,23,70,16,95
Player0028,42,WormsAr,82,51,19,58,68,99,28
Player0032,43,TF2,16,82,70,22,79,89,90
Player005b,44,SnL,41,82,59,62,78,31,97
Player004a,45,Doom2dm,19,51,81,23,31,72,47
Player0019,46,TF2,53,81,25,44,20,69,16
Player0037,47,TF2,48,70,56,35,84,69,24
Player0035,48,TF2,39,45,6,77,53,43,29
Player0001,49,Doom2dm,82,27,43,67,8,85,54
Player0056,50,Doom2dm,32,8,11,22,34,53,78
Player0056,51,Doom2dm,69,26,42,37,59,100,95
Player0055,52,SnL,80,4,12,16,56,78,10
Player0064,53,WormsAr,50,79,38,49,70,87,4
Player0020,54,SnL,31,67,64,58,66,89,4
Player005f,55,SnL,59,23,41,8,19,55,99
Player003e,56,WormsAr,13,51,100,41,96,13,34
Player0006,57,TF2,17,46,51,69,50,2,69
Player0015,58,WormsAr,38,2,30,40,97,94,93
Player0043,59,Doom2dm,48,13,32,88,97,53,7
Player0026,60,SnL,11,77,13,49,81,91,13
Player001b,61,TF2,27,97,51,59,3,16,48
Player0007,62,WormsAr,88,77,35,50,5,36,26
Player0044,63,TF2,82,98,56,86,89,100,46
Player0044,64,TF2,24,4,62,73,77,5,93
Player0020,65,SnL,17,38,26,84,45,27,87
Player0059,66,TF2,75,36,11,37,24,3,24
Player0027,67,SnL,3,30,17,63,51,43,26
Player0058,68,SnL,39,5,95,94,79,90,66
Player003d,69,WormsAr,64,94,20,60,33,7,78
Player0049,70,WormsAr,1,74,13,97,6,91,30
Player0023,71,SnL,16,45,77,32,28,21,53
Player004b,72,TF2,67,95,100,68,27,61,72
Player0019,73,SnL,69,52,11,54,80,44,48
Player0012,74,WormsAr,60,34,16,93,4,3,28
Player005b,75,TF2,85,4,63,97,14,29,32
Player0016,76,SnL,24,38,2,74,78,29,64
Player004f,77,WormsAr,87,13,15,92,81,76,81
Player003b,78,SnL,76,50,29,11,4,56,50
Player004b,79,SnL,12,56,62,65,92,83,31
Player0005,80,Doom2dm,79,80,77,18,42,71,64
Player0034,81,TF2,92,99,72,69,100,1,1
Player005b,82,Doom2dm,41,2,83,75,77,16,17
Player000d,83,SnL,5,66,60,37,23,41,57
Player0009,84,Doom2dm,63,37,95,58,63,86,93
Player0058,85,WormsAr,91,35,21,74,87,45,90
Player004e,86,TF2,41,31,71,30,98,39,16
Player001f,87,SnL,63,11,54,42,85,68,12
Player0022,88,Doom2dm,97,23,39,38,2,19,81
Player0035,89,TF2,46,84,11,48,58,3,28
Player0032,90,TF2,36,95,53,46,83,41,95
Player0018,91,WormsAr,34,29,81,52,52,78,43
Player004b,92,SnL,63,76,28,43,13,47,49
Player0049,93,TF2,87,82,1,86,81,24,86
Player005a,94,WormsAr,52,34,36,36,13,18,58
Player0019,95,SnL,80,18,94,24,72,31,83
Player0015,96,WormsAr,70,16,79,84,50,86,99
Player005e,97,Doom2dm,8,66,44,82,47,40,61
Player000f,98,TF2,92,43,37,71,96,39,18
Player0008,99,Doom2dm,37,64,84,53,83,4,68
Player0010,100,Doom2dm,100,72,54,5,86,85,85
