Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,191,472,Player001e,63.0,WormsAr,26.0,58.0,79.0,62.0,15.0,55.0,46.0
Table_0001,46,969,Player001e,12.0,Doom2dm,85.0,22.0,60.0,1.0,79.0,56.0,65.0
Table_0001,101,639,Player001e,94.0,TF2,8.0,89.0,79.0,58.0,50.0,74.0,42.0
Table_0002,12,853,Player001e,93.0,SnL,68.0,29.0,15.0,79.0,95.0,86.0,29.0
Table_0002,38,823,Player001e,28.0,Doom2dm,19.0,16.0,45.0,91.0,78.0,71.0,59.0
Table_0002,38,490,Player001e,67.0,TF2,59.0,73.0,13.0,75.0,75.0,33.0,53.0
Table_0002,34,642,Player001e,59.0,WormsAr,17.0,69.0,7.0,33.0,87.0,35.0,100.0
Table_0003,1,758,Player001e,96.0,SnL,22.0,77.0,68.0,54.0,100.0,27.0,66.0
Table_0003,25,409,Player001e,35.0,Doom2dm,67.0,62.0,1.0,93.0,92.0,7.0,34.0
Table_0003,155,208,Player001e,11.0,TF2,5.0,98.0,13.0,37.0,33.0,36.0,44.0
Table_0003,43,957,Player001e,73.0,WormsAr,60.0,2.0,36.0,51.0,82.0,75.0,67.0
Table_0004,41,1104,Player001e,87.0,Doom2dm,83.0,40.0,86.0,65.0,86.0,96.0,47.0
Table_0004,65,625,Player001e,55.0,TF2,65.0,40.0,74.0,46.0,72.0,15.0,22.0
Table_0004,25,760,Player001e,77.0,WormsAr,83.0,26.0,2.0,48.0,91.0,72.0,14.0
Table_0005,46,888,Player001e,23.0,SnL,2.0,36.0,48.0,19.0,83.0,69.0,71.0
Table_0005,48,626,Player001e,65.0,Doom2dm,3.0,17.0,16.0,55.0,80.0,52.0,28.0
Table_0005,17,525,Player001e,75.0,WormsAr,9.0,74.0,4.0,75.0,95.0,47.0,32.0
Table_0006,14,754,Player001e,93.0,TF2,65.0,97.0,15.0,14.0,94.0,57.0,77.0
Table_0007,192,609,Player001e,6.0,SnL,38.0,65.0,86.0,36.0,19.0,64.0,64.0
Table_0007,17,1020,Player001e,37.0,Doom2dm,79.0,25.0,89.0,53.0,95.0,29.0,93.0
Table_0007,136,710,Player001e,11.0,TF2,15.0,88.0,51.0,64.0,42.0,94.0,98.0
Table_0007,32,862,Player001e,23.0,WormsAr,89.0,46.0,98.0,82.0,89.0,18.0,68.0
Table_0008,18,607,Player001e,59.0,SnL,2.0,7.0,14.0,39.0,92.0,30.0,18.0
Table_0008,2,949,Player001e,58.0,Doom2dm,90.0,79.0,70.0,55.0,100.0,62.0,57.0
Table_0008,115,808,Player001e,85.0,TF2,76.0,99.0,86.0,31.0,53.0,88.0,43.0
Table_0008,68,323,Player001e,73.0,WormsAr,84.0,95.0,3.0,13.0,71.0,15.0,9.0
Table_0009,42,1048,Player001e,81.0,WormsAr,66.0,20.0,46.0,71.0,81.0,88.0,99.0
Table_0009,190,449,Player001e,5.0,Doom2dm,8.0,50.0,42.0,49.0,16.0,59.0,74.0
Table_0009,76,591,Player001e,71.0,TF2,66.0,52.0,5.0,48.0,68.0,53.0,55.0
Table_0009,31,771,Player001e,77.0,SnL,92.0,85.0,85.0,82.0,88.0,51.0,16.0
