Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,29,691,Player005d,33.0,WormsAr,14.0,87.0,39.0,39.0,85.0,75.0,24.0
Table_0001,169,727,Player005d,24.0,TF2,65.0,7.0,75.0,65.0,26.0,90.0,13.0
Table_0001,68,849,Player005d,29.0,SnL,86.0,89.0,95.0,43.0,67.0,67.0,48.0
Table_0002,27,671,Player005d,45.0,SnL,94.0,92.0,77.0,39.0,91.0,18.0,21.0
Table_0002,82,682,Player005d,88.0,Doom2dm,48.0,95.0,64.0,9.0,57.0,75.0,28.0
Table_0002,4,963,Player005d,9.0,TF2,89.0,14.0,89.0,46.0,99.0,6.0,81.0
Table_0002,80,1106,Player005d,43.0,WormsAr,99.0,21.0,75.0,2.0,64.0,100.0,53.0
Table_0003,106,256,Player005d,56.0,SnL,32.0,68.0,14.0,71.0,49.0,31.0,10.0
Table_0003,16,844,Player005d,46.0,Doom2dm,17.0,45.0,31.0,10.0,96.0,73.0,31.0
Table_0003,63,983,Player005d,17.0,TF2,82.0,42.0,58.0,88.0,75.0,93.0,76.0
Table_0003,26,684,Player005d,25.0,WormsAr,75.0,80.0,42.0,37.0,88.0,13.0,94.0
Table_0004,100,618,Player005d,96.0,SnL,52.0,68.0,38.0,57.0,55.0,45.0,95.0
Table_0004,11,617,Player005d,35.0,Doom2dm,41.0,49.0,3.0,31.0,98.0,18.0,67.0
Table_0004,94,899,Player005d,22.0,TF2,76.0,17.0,99.0,7.0,59.0,47.0,42.0
Table_0004,151,775,Player005d,86.0,WormsAr,63.0,34.0,59.0,99.0,36.0,98.0,65.0
Table_0005,172,505,Player005d,70.0,Doom2dm,48.0,1.0,69.0,47.0,23.0,41.0,10.0
Table_0005,184,251,Player005d,67.0,TF2,69.0,37.0,31.0,85.0,16.0,34.0,16.0
Table_0005,21,952,Player005d,30.0,WormsAr,34.0,43.0,62.0,18.0,94.0,89.0,5.0
Table_0006,108,947,Player005d,55.0,WormsAr,53.0,12.0,87.0,44.0,55.0,68.0,77.0
Table_0006,173,534,Player005d,72.0,Doom2dm,74.0,21.0,26.0,32.0,22.0,72.0,29.0
Table_0006,107,677,Player005d,87.0,TF2,46.0,55.0,80.0,71.0,52.0,49.0,58.0
Table_0006,58,907,Player005d,1.0,SnL,26.0,21.0,14.0,50.0,77.0,94.0,85.0
Table_0007,209,305,Player005d,25.0,SnL,24.0,80.0,93.0,58.0,14.0,19.0,37.0
Table_0007,144,363,Player005d,72.0,TF2,14.0,20.0,46.0,74.0,37.0,27.0,16.0
Table_0008,33,647,Player005d,49.0,SnL,64.0,61.0,30.0,87.0,84.0,54.0,33.0
Table_0008,121,534,Player005d,60.0,Doom2dm,47.0,61.0,79.0,63.0,55.0,18.0,44.0
Table_0008,57,761,Player005d,24.0,TF2,90.0,67.0,67.0,24.0,78.0,58.0,3.0
Table_0008,219,490,Player005d,54.0,WormsAr,33.0,33.0,48.0,33.0,6.0,72.0,47.0
Table_0009,217,666,Player005d,98.0,WormsAr,64.0,19.0,42.0,81.0,5.0,95.0,95.0
Table_0009,40,778,Player005d,59.0,Doom2dm,66.0,54.0,83.0,32.0,85.0,21.0,47.0
Table_0009,27,804,Player005d,80.0,TF2,8.0,34.0,51.0,30.0,89.0,72.0,4.0
Table_0009,76,930,Player005d,53.0,SnL,95.0,43.0,96.0,89.0,68.0,80.0,31.0
