Egyesült Királyság,15.385
Olaszország,15.385
Kanada,15.385
Japán,15.385
Kína,15.385
Ausztrália,7.692
USA,7.692
Németország,7.692
Egyesült Királyság,33.333
Franciaország,16.667
Kína,16.667
Ausztrália,8.333
USA,8.333
Németország,8.333
Japán,8.333
Spanyolország,40.0
Kanada,20.0
Kína,10.0
Olaszország,10.0
USA,10.0
Franciaország,10.0
Spanyolország,16.667
Olaszország,16.667
Kanada,16.667
Németország,16.667
Franciaország,16.667
USA,16.667
Ausztrália,28.571
Kanada,21.429
Kína,14.286
Japán,14.286
Spanyolország,7.143
Olaszország,7.143
Franciaország,7.143
Egyesült Királyság,27.273
Spanyolország,18.182
USA,18.182
Olaszország,18.182
Kína,9.091
Németország,9.091
Spanyolország,40.0
Kanada,20.0
Kína,10.0
Olaszország,10.0
USA,10.0
Franciaország,10.0
Ausztrália,33.333
Spanyolország,33.333
Egyesült Királyság,33.333
