Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,121,375,Player0015,78.0,WormsAr,27.0,70.0,22.0,40.0,48.0,44.0,23.0
Table_0001,189,427,Player0015,23.0,Doom2dm,56.0,70.0,66.0,38.0,15.0,21.0,96.0
Table_0001,42,869,Player0015,39.0,TF2,83.0,9.0,58.0,51.0,79.0,22.0,99.0
Table_0001,160,813,Player0015,98.0,SnL,50.0,47.0,85.0,18.0,28.0,92.0,56.0
Table_0002,54,582,Player0015,12.0,SnL,43.0,56.0,20.0,80.0,83.0,21.0,86.0
Table_0002,70,863,Player0015,28.0,Doom2dm,18.0,42.0,99.0,64.0,64.0,79.0,30.0
Table_0002,2,883,Player0015,35.0,TF2,94.0,44.0,98.0,69.0,100.0,4.0,68.0
Table_0003,214,169,Player0015,45.0,SnL,78.0,35.0,45.0,76.0,2.0,13.0,20.0
Table_0003,190,228,Player0015,49.0,Doom2dm,6.0,97.0,6.0,55.0,17.0,44.0,96.0
Table_0003,49,975,Player0015,23.0,TF2,88.0,20.0,77.0,24.0,80.0,75.0,10.0
Table_0003,163,145,Player0015,17.0,WormsAr,17.0,74.0,14.0,48.0,28.0,9.0,53.0
Table_0004,132,504,Player0015,11.0,SnL,95.0,22.0,15.0,5.0,41.0,22.0,60.0
Table_0004,28,569,Player0015,51.0,Doom2dm,29.0,14.0,8.0,43.0,91.0,24.0,18.0
Table_0004,15,588,Player0015,8.0,TF2,64.0,92.0,16.0,53.0,93.0,24.0,76.0
Table_0004,32,808,Player0015,12.0,WormsAr,14.0,100.0,85.0,51.0,88.0,86.0,3.0
Table_0005,21,955,Player0015,88.0,SnL,7.0,63.0,81.0,3.0,94.0,44.0,94.0
Table_0005,103,779,Player0015,30.0,Doom2dm,17.0,64.0,78.0,78.0,56.0,73.0,81.0
Table_0005,109,893,Player0015,54.0,TF2,55.0,3.0,38.0,38.0,52.0,82.0,90.0
Table_0005,45,1090,Player0015,93.0,WormsAr,69.0,14.0,64.0,48.0,85.0,86.0,68.0
Table_0006,88,517,Player0015,73.0,WormsAr,28.0,80.0,5.0,51.0,65.0,67.0,46.0
Table_0006,39,625,Player0015,79.0,Doom2dm,17.0,29.0,18.0,27.0,81.0,29.0,59.0
Table_0006,51,735,Player0015,17.0,TF2,72.0,71.0,76.0,14.0,79.0,26.0,46.0
Table_0006,106,691,Player0015,91.0,SnL,89.0,39.0,100.0,35.0,59.0,8.0,44.0
Table_0007,49,853,Player0015,84.0,SnL,59.0,51.0,10.0,19.0,85.0,74.0,82.0
Table_0007,208,448,Player0015,43.0,Doom2dm,53.0,13.0,30.0,26.0,3.0,55.0,61.0
Table_0007,191,521,Player0015,71.0,TF2,10.0,23.0,51.0,68.0,16.0,65.0,66.0
Table_0007,5,1131,Player0015,58.0,WormsAr,38.0,2.0,30.0,40.0,97.0,94.0,93.0
Table_0008,72,872,Player0015,47.0,SnL,95.0,6.0,8.0,68.0,65.0,95.0,64.0
Table_0008,115,442,Player0015,66.0,Doom2dm,9.0,46.0,2.0,59.0,56.0,52.0,45.0
Table_0008,15,1205,Player0015,53.0,TF2,62.0,13.0,100.0,23.0,94.0,71.0,69.0
Table_0008,131,741,Player0015,11.0,WormsAr,96.0,52.0,48.0,59.0,44.0,63.0,96.0
Table_0009,135,541,Player0015,58.0,WormsAr,88.0,47.0,77.0,9.0,39.0,7.0,51.0
Table_0009,91,956,Player0015,31.0,Doom2dm,12.0,1.0,85.0,51.0,64.0,80.0,51.0
Table_0009,48,1056,Player0015,69.0,SnL,10.0,21.0,83.0,96.0,81.0,98.0,69.0
