Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,18,876,Player005b,1.0,WormsAr,18.0,69.0,49.0,42.0,91.0,92.0,34.0
Table_0001,214,451,Player005b,84.0,Doom2dm,86.0,27.0,52.0,8.0,3.0,17.0,94.0
Table_0001,8,785,Player005b,53.0,TF2,99.0,100.0,37.0,77.0,96.0,92.0,2.0
Table_0001,1,872,Player005b,87.0,SnL,37.0,20.0,96.0,97.0,100.0,31.0,30.0
Table_0002,10,772,Player005b,100.0,SnL,68.0,39.0,21.0,91.0,96.0,76.0,13.0
Table_0002,23,780,Player005b,20.0,Doom2dm,43.0,94.0,88.0,29.0,86.0,36.0,58.0
Table_0002,78,620,Player005b,10.0,TF2,79.0,10.0,61.0,51.0,57.0,22.0,28.0
Table_0002,7,768,Player005b,27.0,WormsAr,49.0,58.0,35.0,4.0,98.0,45.0,32.0
Table_0003,193,321,Player005b,70.0,SnL,39.0,93.0,67.0,41.0,12.0,54.0,16.0
Table_0003,157,727,Player005b,65.0,Doom2dm,91.0,27.0,79.0,46.0,31.0,46.0,80.0
Table_0003,85,770,Player005b,62.0,WormsAr,30.0,1.0,89.0,75.0,62.0,20.0,80.0
Table_0004,111,452,Player005b,69.0,SnL,59.0,80.0,36.0,57.0,52.0,42.0,37.0
Table_0004,34,959,Player005b,52.0,Doom2dm,37.0,60.0,96.0,46.0,88.0,78.0,24.0
Table_0004,134,382,Player005b,90.0,TF2,5.0,10.0,11.0,70.0,42.0,21.0,70.0
Table_0004,113,853,Player005b,68.0,WormsAr,74.0,67.0,99.0,88.0,52.0,61.0,100.0
Table_0005,98,498,Player005b,93.0,SnL,4.0,61.0,58.0,14.0,58.0,18.0,47.0
Table_0005,80,348,Player005b,10.0,TF2,92.0,98.0,36.0,27.0,63.0,9.0,10.0
Table_0005,33,737,Player005b,99.0,WormsAr,97.0,94.0,97.0,20.0,91.0,6.0,39.0
Table_0006,108,749,Player005b,44.0,Doom2dm,63.0,70.0,80.0,40.0,52.0,42.0,99.0
Table_0006,110,726,Player005b,41.0,TF2,73.0,70.0,58.0,31.0,50.0,74.0,52.0
Table_0006,22,707,Player005b,50.0,SnL,53.0,90.0,39.0,41.0,92.0,33.0,83.0
Table_0007,70,700,Player005b,44.0,SnL,41.0,82.0,59.0,62.0,78.0,31.0,97.0
Table_0007,63,694,Player005b,82.0,Doom2dm,41.0,2.0,83.0,75.0,77.0,16.0,17.0
Table_0007,195,419,Player005b,75.0,TF2,85.0,4.0,63.0,97.0,14.0,29.0,32.0
Table_0007,96,422,Player005b,69.0,WormsAr,5.0,71.0,51.0,82.0,58.0,29.0,41.0
Table_0008,21,920,Player005b,77.0,SnL,80.0,75.0,100.0,36.0,90.0,23.0,92.0
Table_0008,50,610,Player005b,42.0,Doom2dm,70.0,46.0,18.0,86.0,80.0,27.0,78.0
Table_0008,200,307,Player005b,16.0,TF2,90.0,6.0,8.0,27.0,12.0,15.0,56.0
Table_0008,116,510,Player005b,5.0,WormsAr,92.0,35.0,28.0,77.0,49.0,29.0,60.0
Table_0009,86,575,Player005b,59.0,WormsAr,50.0,47.0,34.0,42.0,61.0,53.0,21.0
Table_0009,65,366,Player005b,80.0,Doom2dm,36.0,73.0,7.0,13.0,76.0,9.0,26.0
Table_0009,52,776,Player005b,37.0,TF2,23.0,8.0,81.0,85.0,79.0,45.0,18.0
Table_0009,88,513,Player005b,19.0,SnL,64.0,21.0,6.0,55.0,62.0,37.0,35.0
