Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,137,366,Player0043,56.0,WormsAr,91.0,98.0,30.0,39.0,40.0,6.0,98.0
Table_0001,60,549,Player0043,95.0,Doom2dm,65.0,79.0,49.0,86.0,71.0,27.0,59.0
Table_0001,145,677,Player0043,70.0,SnL,58.0,39.0,62.0,42.0,33.0,70.0,54.0
Table_0002,79,657,Player0043,4.0,SnL,98.0,61.0,25.0,23.0,75.0,28.0,71.0
Table_0002,29,787,Player0043,41.0,TF2,86.0,3.0,55.0,11.0,83.0,2.0,65.0
Table_0002,98,386,Player0043,52.0,WormsAr,88.0,87.0,19.0,79.0,52.0,50.0,17.0
Table_0003,146,425,Player0043,22.0,SnL,70.0,94.0,49.0,14.0,32.0,31.0,63.0
Table_0003,11,741,Player0043,95.0,Doom2dm,89.0,44.0,23.0,79.0,98.0,17.0,96.0
Table_0003,36,856,Player0043,62.0,TF2,51.0,28.0,21.0,12.0,84.0,61.0,73.0
Table_0003,155,541,Player0043,64.0,WormsAr,23.0,64.0,55.0,67.0,32.0,66.0,62.0
Table_0004,22,505,Player0043,87.0,SnL,12.0,76.0,48.0,65.0,92.0,14.0,25.0
Table_0004,59,612,Player0043,5.0,Doom2dm,91.0,98.0,12.0,68.0,71.0,87.0,23.0
Table_0004,106,754,Player0043,16.0,TF2,29.0,75.0,99.0,2.0,54.0,36.0,83.0
Table_0004,61,701,Player0043,73.0,WormsAr,15.0,98.0,94.0,9.0,77.0,40.0,32.0
Table_0005,57,637,Player0043,10.0,SnL,57.0,37.0,62.0,54.0,74.0,37.0,2.0
Table_0005,77,998,Player0043,31.0,Doom2dm,8.0,44.0,81.0,1.0,66.0,93.0,67.0
Table_0005,20,957,Player0043,73.0,TF2,99.0,94.0,94.0,31.0,93.0,71.0,23.0
Table_0005,115,587,Player0043,90.0,WormsAr,52.0,30.0,9.0,40.0,52.0,65.0,44.0
Table_0006,75,330,Player0043,70.0,WormsAr,23.0,38.0,23.0,46.0,70.0,2.0,1.0
Table_0006,37,629,Player0043,52.0,Doom2dm,79.0,91.0,52.0,48.0,82.0,23.0,61.0
Table_0006,23,755,Player0043,71.0,TF2,81.0,59.0,53.0,77.0,92.0,17.0,91.0
Table_0006,72,942,Player0043,2.0,SnL,86.0,60.0,73.0,7.0,70.0,75.0,57.0
Table_0007,114,467,Player0043,38.0,SnL,24.0,73.0,53.0,9.0,55.0,23.0,36.0
Table_0007,11,741,Player0043,59.0,Doom2dm,48.0,13.0,32.0,88.0,97.0,53.0,7.0
Table_0007,65,895,Player0043,34.0,TF2,68.0,77.0,76.0,36.0,77.0,80.0,42.0
Table_0007,14,1040,Player0043,91.0,WormsAr,2.0,46.0,79.0,67.0,94.0,75.0,95.0
Table_0008,191,140,Player0043,57.0,SnL,93.0,17.0,19.0,43.0,5.0,1.0,19.0
Table_0008,10,908,Player0043,10.0,Doom2dm,6.0,61.0,56.0,71.0,95.0,64.0,98.0
Table_0008,54,781,Player0043,52.0,TF2,50.0,69.0,40.0,18.0,79.0,77.0,32.0
Table_0008,3,1006,Player0043,43.0,WormsAr,94.0,88.0,33.0,40.0,99.0,88.0,91.0
Table_0009,108,230,Player0043,4.0,WormsAr,76.0,90.0,38.0,77.0,53.0,4.0,8.0
Table_0009,12,927,Player0043,82.0,Doom2dm,91.0,58.0,44.0,72.0,96.0,92.0,22.0
Table_0009,191,264,Player0043,30.0,TF2,39.0,88.0,32.0,27.0,20.0,15.0,86.0
Table_0009,19,774,Player0043,28.0,SnL,33.0,16.0,63.0,32.0,94.0,22.0,29.0
