Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,77,689,Player005f,1.0,WormsAr,32.0,80.0,70.0,45.0,68.0,71.0,14.0
Table_0001,167,586,Player005f,47.0,Doom2dm,66.0,82.0,93.0,16.0,29.0,52.0,34.0
Table_0001,91,419,Player005f,49.0,TF2,59.0,21.0,7.0,64.0,59.0,16.0,43.0
Table_0001,35,645,Player005f,6.0,SnL,89.0,55.0,72.0,78.0,82.0,24.0,11.0
Table_0002,146,289,Player005f,31.0,Doom2dm,34.0,6.0,4.0,70.0,25.0,2.0,96.0
Table_0002,151,386,Player005f,62.0,TF2,43.0,71.0,2.0,64.0,25.0,65.0,79.0
Table_0002,164,414,Player005f,64.0,WormsAr,19.0,97.0,81.0,90.0,26.0,65.0,23.0
Table_0003,102,464,Player005f,31.0,SnL,65.0,77.0,19.0,93.0,51.0,64.0,39.0
Table_0003,131,608,Player005f,58.0,Doom2dm,45.0,100.0,53.0,27.0,45.0,83.0,37.0
Table_0003,1,718,Player005f,44.0,TF2,37.0,25.0,17.0,82.0,100.0,17.0,97.0
Table_0003,25,1035,Player005f,82.0,WormsAr,82.0,17.0,26.0,17.0,88.0,94.0,55.0
Table_0004,40,993,Player005f,35.0,SnL,66.0,44.0,82.0,36.0,83.0,86.0,23.0
Table_0004,31,740,Player005f,88.0,Doom2dm,10.0,91.0,57.0,16.0,89.0,41.0,74.0
Table_0004,47,865,Player005f,19.0,TF2,87.0,27.0,41.0,28.0,79.0,68.0,35.0
Table_0004,55,565,Player005f,45.0,WormsAr,15.0,62.0,61.0,88.0,79.0,13.0,66.0
Table_0005,96,675,Player005f,41.0,SnL,68.0,10.0,40.0,60.0,59.0,32.0,72.0
Table_0005,24,733,Player005f,88.0,Doom2dm,58.0,72.0,77.0,82.0,90.0,8.0,94.0
Table_0005,127,513,Player005f,72.0,TF2,88.0,39.0,36.0,11.0,42.0,29.0,40.0
Table_0005,172,416,Player005f,73.0,WormsAr,3.0,46.0,55.0,18.0,28.0,44.0,21.0
Table_0006,30,581,Player005f,1.0,WormsAr,75.0,59.0,24.0,12.0,90.0,24.0,9.0
Table_0006,169,385,Player005f,34.0,Doom2dm,84.0,36.0,60.0,70.0,23.0,29.0,16.0
Table_0006,114,758,Player005f,16.0,TF2,70.0,13.0,92.0,25.0,47.0,51.0,12.0
Table_0007,82,844,Player005f,31.0,SnL,42.0,76.0,77.0,17.0,72.0,91.0,8.0
Table_0007,42,730,Player005f,2.0,Doom2dm,46.0,87.0,80.0,74.0,86.0,43.0,45.0
Table_0007,83,456,Player005f,41.0,TF2,65.0,97.0,34.0,86.0,67.0,22.0,73.0
Table_0007,40,923,Player005f,47.0,WormsAr,98.0,59.0,58.0,69.0,86.0,81.0,42.0
Table_0008,67,672,Player005f,36.0,SnL,3.0,100.0,77.0,2.0,68.0,28.0,94.0
Table_0008,44,637,Player005f,12.0,Doom2dm,51.0,11.0,12.0,62.0,84.0,10.0,87.0
Table_0008,42,929,Player005f,98.0,TF2,46.0,99.0,87.0,63.0,85.0,90.0,49.0
Table_0008,137,722,Player005f,95.0,WormsAr,10.0,88.0,96.0,77.0,41.0,99.0,38.0
Table_0009,191,692,Player005f,54.0,WormsAr,60.0,71.0,100.0,87.0,15.0,72.0,99.0
Table_0009,18,1084,Player005f,4.0,Doom2dm,9.0,54.0,84.0,19.0,94.0,85.0,70.0
Table_0009,55,930,Player005f,58.0,TF2,39.0,20.0,35.0,24.0,78.0,100.0,30.0
Table_0009,112,452,Player005f,35.0,SnL,56.0,37.0,26.0,74.0,50.0,42.0,24.0
