Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,44,905,Player000d,79.0,WormsAr,40.0,39.0,93.0,26.0,82.0,33.0,74.0
Table_0001,178,125,Player000d,49.0,Doom2dm,78.0,77.0,1.0,17.0,21.0,11.0,33.0
Table_0001,27,608,Player000d,89.0,TF2,22.0,58.0,11.0,57.0,88.0,39.0,65.0
Table_0001,102,538,Player000d,53.0,SnL,12.0,6.0,21.0,2.0,49.0,12.0,92.0
Table_0002,68,468,Player000d,41.0,SnL,71.0,77.0,31.0,40.0,78.0,17.0,20.0
Table_0002,108,800,Player000d,42.0,Doom2dm,27.0,14.0,81.0,78.0,44.0,66.0,76.0
Table_0002,121,645,Player000d,22.0,TF2,49.0,83.0,64.0,19.0,37.0,85.0,32.0
Table_0003,89,607,Player000d,60.0,SnL,43.0,23.0,14.0,79.0,61.0,62.0,47.0
Table_0003,154,425,Player000d,40.0,Doom2dm,46.0,97.0,10.0,93.0,34.0,78.0,77.0
Table_0003,142,527,Player000d,1.0,TF2,81.0,93.0,23.0,23.0,38.0,70.0,58.0
Table_0003,39,757,Player000d,20.0,WormsAr,85.0,76.0,41.0,90.0,83.0,45.0,98.0
Table_0004,106,599,Player000d,17.0,SnL,74.0,99.0,60.0,42.0,53.0,40.0,80.0
Table_0004,14,979,Player000d,42.0,Doom2dm,52.0,98.0,82.0,9.0,96.0,87.0,29.0
Table_0004,24,964,Player000d,10.0,WormsAr,69.0,39.0,83.0,72.0,92.0,43.0,82.0
Table_0005,2,956,Player000d,81.0,SnL,93.0,75.0,72.0,39.0,100.0,34.0,100.0
Table_0005,207,207,Player000d,35.0,Doom2dm,98.0,53.0,20.0,51.0,6.0,12.0,64.0
Table_0005,128,383,Player000d,63.0,TF2,55.0,71.0,26.0,72.0,42.0,28.0,71.0
Table_0005,11,973,Player000d,25.0,WormsAr,76.0,87.0,68.0,89.0,96.0,85.0,68.0
Table_0006,6,920,Player000d,1.0,WormsAr,83.0,51.0,70.0,42.0,99.0,39.0,60.0
Table_0006,152,642,Player000d,20.0,Doom2dm,99.0,73.0,100.0,21.0,28.0,60.0,15.0
Table_0006,82,556,Player000d,5.0,TF2,23.0,75.0,97.0,50.0,64.0,2.0,57.0
Table_0006,5,638,Player000d,36.0,SnL,40.0,57.0,5.0,37.0,98.0,18.0,86.0
Table_0007,33,897,Player000d,3.0,SnL,28.0,66.0,25.0,4.0,88.0,77.0,91.0
Table_0007,212,284,Player000d,21.0,Doom2dm,46.0,4.0,5.0,66.0,1.0,38.0,70.0
Table_0007,98,667,Player000d,6.0,TF2,15.0,41.0,21.0,48.0,61.0,61.0,85.0
Table_0007,11,933,Player000d,30.0,WormsAr,82.0,71.0,10.0,25.0,96.0,84.0,86.0
Table_0008,37,804,Player000d,50.0,SnL,20.0,72.0,61.0,56.0,83.0,65.0,63.0
Table_0008,8,636,Player000d,80.0,Doom2dm,2.0,47.0,4.0,98.0,96.0,64.0,39.0
Table_0008,192,611,Player000d,19.0,TF2,15.0,9.0,46.0,36.0,18.0,61.0,89.0
Table_0008,36,947,Player000d,82.0,WormsAr,98.0,53.0,60.0,19.0,84.0,71.0,45.0
Table_0009,28,629,Player000d,17.0,WormsAr,48.0,72.0,2.0,53.0,88.0,63.0,40.0
Table_0009,127,488,Player000d,18.0,Doom2dm,41.0,54.0,26.0,3.0,50.0,35.0,45.0
Table_0009,96,339,Player000d,12.0,SnL,70.0,62.0,17.0,9.0,59.0,6.0,16.0
